Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
anut1237,Anutan,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Feinberg 1977: 14, 18, 21",There is no explicit marker for the absolutive case.,
anut1237,Anutan,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Feinberg 1977: 14, 18",First-person pronouns show ergative alignment.,
anut1237,Anutan,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Feinberg 1977: 14, 18",Second-person pronouns show ergative alignment.,
anut1237,Anutan,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Feinberg 1977: 14, 18",Third-person pronouns show ergative alignment.,
anut1237,Anutan,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Feinberg 1977: 17-18,  21, 24",Full NP's exhibit ergative alignment.,
anut1237,Anutan,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
anut1237,Anutan,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Feinberg 1977: 18, 21",Ergative alignment occurs in the perfective aspect. ,
anut1237,Anutan,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Feinberg 1977: 17-18, 21",Ergative alignment occurs in past tense clauses.,
anut1237,Anutan,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Feinberg 1977: 17-18, 21",Ergative alignment is applied in non-past times.,
anut1237,Anutan,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Feinberg 1977: 17-18, 21-22",Ergative alignment occurs in sentences in the indicative mood.,
anut1237,Anutan,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
anut1237,Anutan,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Feinberg 1977:  17-18, 21",Ergative alignment occurs in clauses with real status.,
anut1237,Anutan,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Feinberg 1977: 17-18, 21-22",Ergative alignment occurs in clauses with irrealis status.,
anut1237,Anutan,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Feinberg 1977: 17-18, 21",Ergative alignment exists in the context of an agentive A argument.,
anut1237,Anutan,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
anut1237,Anutan,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Feinberg 1977: 14, 17-18",Ergative alignment applies to topic arguments A.,
anut1237,Anutan,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Feinberg 1977: 17-18,Ergative alignment occurs when argument A is not the main topic of the sentence.,
anut1237,Anutan,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Feinberg 1977: 17-18, 21","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",
anut1237,Anutan,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
anut1237,Anutan,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Feinberg 1977: 17-18, 21",Ergative alignment occurs in main clauses.,
anut1237,Anutan,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Feinberg 1977: 21-23,Non-principal clauses do not exhibit ergative alignment.,
anut1237,Anutan,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Feinberg 1977: 17-18,Ergative alignment is not conditioned by other factors.,
anut1237,Anutan,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Feinberg 1977: 17-18,The ergative marker and the genitive marker have different forms.,
anut1237,Anutan,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Feinberg 1977:  14-15, 17",The ergative case does not have the same marker as the instrumental or comitative marker.,
