Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
awar1248,Avar,Nakh-Daghestanian,GB409_1,Is there an overt marker for the absolutive?,0,"Quigley 2002: 11, 13",There is no explicit marker for the absolutive case.,
awar1248,Avar,Nakh-Daghestanian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Quigley 2002: 20, 28",First-person pronouns show ergative alignment.,
awar1248,Avar,Nakh-Daghestanian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Quigley 2002: 14, 47, 107, 121",Second-person pronouns show ergative alignment.,
awar1248,Avar,Nakh-Daghestanian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Quigley 2002: 14, 61, 96",Third-person pronouns show ergative alignment.,
awar1248,Avar,Nakh-Daghestanian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Quigley 2002: 11, 14, 20, 43",Full NP's exhibit ergative alignment.,
awar1248,Avar,Nakh-Daghestanian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Quigley 2002: 14, 50",Ergative alignment occurs in the imperfective aspect. ,
awar1248,Avar,Nakh-Daghestanian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Quigley 2002: 20, 82, 109",Ergative alignment occurs in the perfective aspect. ,
awar1248,Avar,Nakh-Daghestanian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Quigley 2002: 18, 20",Ergative alignment occurs in past tense clauses.,
awar1248,Avar,Nakh-Daghestanian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Quigley 2002: 11, 14, 26",Ergative alignment is applied in non-past times.,
awar1248,Avar,Nakh-Daghestanian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Quigley 2002: 11, 20, 61",Ergative alignment occurs in sentences in the indicative mood.,
awar1248,Avar,Nakh-Daghestanian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Quigley 2002: 14, 26, 107",Ergative alignment occurs in sentences in the non-indicative mood.,
awar1248,Avar,Nakh-Daghestanian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Quigley 2002: 11, 14, 20, 61",Ergative alignment occurs in clauses with real status.,
awar1248,Avar,Nakh-Daghestanian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Quigley 2002: 14, 26, 79, 107",Ergative alignment occurs in clauses with irrealis status.,
awar1248,Avar,Nakh-Daghestanian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Quigley 2002: 11, 20, 25",Ergative alignment exists in the context of an agentive A argument.,
awar1248,Avar,Nakh-Daghestanian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Quigley 2002: 14, 50",Ergative alignment exists in the context of a non-agentive argument A.,
awar1248,Avar,Nakh-Daghestanian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Quigley 2002: 11, 20, 61",Ergative alignment applies to topic arguments A.,
awar1248,Avar,Nakh-Daghestanian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Quigley 2002: 14, 48, 121",Ergative alignment occurs when argument A is not the main topic of the sentence.,
awar1248,Avar,Nakh-Daghestanian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Quigley 2002: 11, 14, 20, 43","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",
awar1248,Avar,Nakh-Daghestanian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Quigley 2002: 22, 50, 115",Ergative alignment occurs in clauses with an inanimate argument A.,
awar1248,Avar,Nakh-Daghestanian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Quigley 2002: 11, 20",Ergative alignment occurs in main clauses.,
awar1248,Avar,Nakh-Daghestanian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Quigley 2002: 18, 58, 102",Non-principal clauses exhibit ergative alignment.,
awar1248,Avar,Nakh-Daghestanian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Quigley 2002: 47-48,Ergative alignment is not conditioned by other factors.,
awar1248,Avar,Nakh-Daghestanian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Quigley 2002: 20-21,The ergative marker and the genitive marker have different forms.,
awar1248,Avar,Nakh-Daghestanian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Quigley 2002: 20,The ergative case has the same mark as the instrumental and comitative marker.,
